AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Label
11.54,0.0,0.0,11.54,0.0,3.85,0.0,7.69,3.85,3.85,3.85,0.0,3.85,7.69,26.92,3.85,7.69,3.85,0.0,0.0,AMP
15.22,2.17,6.52,8.7,0.0,2.17,2.17,4.35,4.35,13.04,2.17,0.0,6.52,0.0,17.39,2.17,6.52,6.52,0.0,0.0,AMP
5.71,8.57,5.71,2.86,5.71,17.14,0.0,11.43,2.86,8.57,2.86,2.86,5.71,0.0,0.0,8.57,8.57,2.86,0.0,0.0,AMP
8.16,0.0,2.04,10.2,2.04,8.16,2.04,4.08,12.24,10.2,2.04,2.04,2.04,4.08,22.45,4.08,2.04,0.0,0.0,2.04,AMP
20.59,0.0,0.0,5.88,0.0,8.82,2.94,8.82,5.88,11.76,2.94,0.0,0.0,5.88,11.76,8.82,2.94,0.0,2.94,0.0,AMP
18.0,2.0,4.0,6.0,0.0,2.0,2.0,4.0,4.0,6.0,2.0,0.0,4.0,2.0,28.0,6.0,6.0,4.0,0.0,0.0,AMP
13.95,6.98,4.65,4.65,4.65,16.28,0.0,13.95,4.65,9.3,2.33,2.33,4.65,0.0,0.0,2.33,4.65,4.65,0.0,0.0,AMP
2.33,6.98,4.65,4.65,4.65,16.28,0.0,11.63,4.65,6.98,6.98,2.33,4.65,0.0,0.0,9.3,6.98,6.98,0.0,0.0,AMP
9.3,6.98,4.65,4.65,6.98,18.6,0.0,13.95,4.65,2.33,6.98,2.33,4.65,0.0,0.0,6.98,4.65,2.33,0.0,0.0,AMP
6.67,0.0,0.0,0.0,46.67,0.0,0.0,6.67,6.67,6.67,6.67,0.0,6.67,0.0,6.67,0.0,6.67,0.0,0.0,0.0,AMP
0.0,0.0,6.25,0.0,6.25,0.0,43.75,0.0,6.25,0.0,6.25,0.0,6.25,6.25,6.25,0.0,6.25,6.25,0.0,0.0,AMP
21.43,0.0,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.14,7.14,0.0,0.0,0.0,7.14,7.14,14.29,0.0,14.29,0.0,AMP
14.29,0.0,0.0,0.0,35.71,0.0,0.0,7.14,0.0,0.0,7.14,7.14,0.0,0.0,7.14,7.14,7.14,0.0,0.0,7.14,AMP
3.57,0.0,0.0,0.0,7.14,14.29,7.14,10.71,0.0,14.29,3.57,3.57,3.57,3.57,10.71,3.57,3.57,10.71,0.0,0.0,AMP
4.76,0.0,0.0,0.0,0.0,14.29,0.0,19.05,0.0,0.0,4.76,9.52,0.0,0.0,4.76,4.76,38.1,0.0,0.0,0.0,AMP
0.0,0.0,5.88,5.88,11.76,0.0,0.0,5.88,0.0,11.76,5.88,0.0,23.53,0.0,17.65,0.0,5.88,0.0,5.88,0.0,AMP
